optimizer,learning rate,batch size,num iteration,duration,train loss,train accuracy,test loss,test accuracy,sharpness,non uniformity,sharpness test,non uniformity test
sgd,0.01,10,99,52,0.13045,95.9,0.94278,80.2,96.0,495.0,0,0
adagrad,0.01,10,99,88,0.00037,100.0,1.44495,83.4,2.0,20.0,0,0
sgd,0.05,10,99,53,0.0014199999999999998,100.0,1.2847,82.5,3.0,45.0,0,0
adagrad,0.05,10,99,88,0.00018,100.0,1.7520799999999999,82.8,1.0,9.0,0,0
sgd,0.1,10,99,52,0.08876,96.8,1.04356,80.5,7.0,61.0,0,0
adagrad,0.1,10,99,88,0.0020399999999999997,100.0,1.7717200000000002,80.5,5.0,56.0,0,0
sgd,0.001,10,99,52,0.81724,71.1,0.8600399999999999,67.7,59.0,109.0,0,0
adagrad,0.001,10,99,84,0.14975,96.0,0.5583600000000001,82.1,121.0,359.0,0,0
adagrad,0.01,1000,1600,105,8e-05,100.0,1.36398,83.4,0.0,5.0,0,0
sgd,0.01,1000,9999,625,0.01182,100.0,1.0337100000000001,81.0,120.0,520.0,0,0
lbfgs,0.01,1000,400,1003,0.0,100.0,6.5396300000000025,79.9,1.0,9.0,0,0
sgd,0.05,1000,9999,634,0.00045,100.0,1.36827,81.9,3.0,16.0,0,0
adagrad,0.1,5,318,591,0.0001,100.0,2.63148,81.2,1.0,5.0,0,0
sgd,0.1,5,176,188,9e-05,100.0,1.44336,82.8,0.0,0.0,0,0
sgd,0.05,5,150,193,0.0001,100.0,1.65064,82.2,0.0,1.0,0,0
adagrad,0.05,5,154,337,0.0001,100.0,1.9276799999999998,82.4,0.0,4.0,0,0
sgd,0.01,5,614,792,0.0001,100.0,1.70577,81.7,1.0,5.0,0,0
adagrad,0.01,5,156,340,0.0001,100.0,1.63645,82.7,1.0,7.0,0,0
sgd,0.001,5,7224,9402,0.0001,100.0,1.84735,80.9,2.0,9.0,0,0
adagrad,0.001,5,5804,12539,0.0001,100.0,1.49273,82.7,1.0,7.0,0,0
adagrad,0.1,25,470,187,0.0001,100.0,1.92517,80.9,0.0,4.0,0,0
sgd,0.1,25,280,78,0.0001,100.0,1.47969,83.0,0.0,2.0,0,0
sgd,0.05,25,620,171,0.0001,100.0,1.5084,82.7,0.0,3.0,0,0
