optimizer,lr,batch size,num iteration,duration,train loss,train accuracy,test loss,test accuracy,sharpness train,non uniformity train,sharpness test,non uniformity test
adagrad,0.025,1000,6600,466,0.0001,100,2.00412,81.4,1,11,0,0
lbfgs,0.05,1000,200,318,0,100,8.60828,79.2,0,0,0,0
sgd,0.05,1000,19999,1395,0.00016,100,1.56594,81.8,1,7,0,0
adagrad,0.05,1000,19999,1446,0.23683,87,2.50635,70.6,27,227,0,0
lbfgs,0.01,1000,200,863,0,100,4.42226,80.5,0,1,0,0
sgd,0.01,1000,19999,1372,0.00207,100,1.35063,80.9,33,141,0,0
adagrad,0.01,1000,2000,147,8.00E-05,100,1.46464,83,0,6,0,0
sgd,0.075,100,2000,263,9.00E-05,100,1.56189,82.5,1,3,0,0
adagrad,0.075,100,1000,196,8.00E-05,100,2.50248,81.5,1,6,0,0
adagrad,0.025,5,200,380,7.00E-05,100,1.75842,83,0.2,2.4,0,0
sgd,0.025,5,400,390,4.00E-05,100,1.76532,82.5,0.1,1.1,0,0
adagrad,0.075,5,200,412,9.00E-05,100,2.06219,82.4,0.2,2.6,0,0
sgd,0.075,5,200,211,4.00E-05,100,1.6824,82.3,0,0.2,0,0
adagrad,0.025,50,400,96,4.00E-05,100,1.74376,83.2,0.2,2,0,0
sgd,0.025,50,2800,502,0.0001,100,1.75482,81.3,1.2,5.7,0,0
adagrad,0.075,50,400,90,6.00E-05,100,2.44018,81,0.3,4.8,0,0
sgd,0.075,50,1000,186,8.00E-05,100,1.42965,82.5,0.5,2.6,0,0
adagrad,0.025,10,200,177,8.00E-05,100,1.87849,82.4,0.3,3.9,0,0
sgd,0.025,10,600,331,7.00E-05,100,1.64616,82.3,0.4,2.6,0,0
adagrad,0.075,10,400,378,5.00E-05,100,2.40022,81.8,0.2,1.8,0,0
